,0
813,2
814,1
815,0
816,2
817,2
818,0
819,1
820,1
821,1
822,1
823,1
824,1
825,2
826,0
827,0
828,2
829,1
830,1
831,1
832,1
833,2
834,1
835,2
836,1
837,1
838,1
839,1
840,2
841,2
842,1
843,1
844,1
845,1
846,2
847,1
848,1
849,2
850,2
851,1
852,1
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,2
861,1
862,2
863,1
864,0
865,2
866,1
867,1
868,1
869,1
870,2
871,2
872,2
873,1
874,2
875,1
876,1
877,1
878,1
879,1
880,2
881,1
882,1
883,1
